Species,N_full_actual,N_acc_actual,Coverage,Coverage_pct,Pass
zebra,16843,15888,0.9432998871934929,94.33,True
wildebeest,23469,21035,0.896288721291917,89.63,True
giraffe,1827,1634,0.8943623426382047,89.44,True
elephant,2246,2004,0.8922528940338379,89.23,True
guineaFowl,2358,2044,0.8668363019508057,86.68,True
gazelleThomsons,10467,8965,0.8565013853062005,85.65,True
porcupine,38,32,0.8421052631578947,84.21,True
hippopotamus,234,196,0.8376068376068376,83.76,True
warthog,2014,1658,0.8232373386295928,82.32,True
cheetah,345,281,0.8144927536231884,81.45,True
hartebeest,3505,2746,0.7834522111269615,78.35,True
hyenaSpotted,990,761,0.7686868686868686,76.87,True
buffalo,3140,2368,0.7541401273885351,75.41,True
aardvark,44,33,0.75,75.0,True
baboon,368,274,0.7445652173913043,74.46,True
lionFemale,851,624,0.7332549941245593,73.33,True
caracal,22,16,0.7272727272727273,72.73,True
vervetMonkey,109,79,0.7247706422018348,72.48,True
impala,2018,1248,0.6184340931615461,61.84,False
leopard,22,12,0.5454545454545454,54.55,False
reedbuck,362,190,0.5248618784530387,52.49,False
aardwolf,28,5,0.17857142857142858,17.86,False
civet,7,1,0.14285714285714285,14.29,False
