Species,TP,FP,FN,TN,Recall,Precision,F1-Score
aardvark,33,1,0,65987,100.0,97.06,98.50999999999999
aardwolf,5,0,0,66016,100.0,100.0,100.0
baboon,268,8,6,65739,97.81,97.1,97.45
batEaredFox,23,3,3,65992,88.46000000000001,88.46000000000001,88.46000000000001
buffalo,2291,70,77,63583,96.75,97.04,96.89
bushbuck,10,0,3,66008,76.92,100.0,86.96000000000001
caracal,16,0,0,66005,100.0,100.0,100.0
cheetah,275,0,6,65740,97.86,100.0,98.92
civet,1,0,0,66020,100.0,100.0,100.0
dikDik,208,4,20,65789,91.23,98.11,94.55
eland,416,18,31,65556,93.06,95.85000000000001,94.44
elephant,1993,12,11,64005,99.45,99.4,99.42999999999999
gazelleGrants,745,57,189,65030,79.75999999999999,92.89,85.83
gazelleThomsons,8879,171,86,56885,99.03999999999999,98.11,98.57000000000001
genet,0,0,3,66018,0.0,0.0,0.0
giraffe,1629,15,5,64372,99.69,99.09,99.39
guineaFowl,2031,6,13,63971,99.36,99.71,99.53
hare,44,6,0,65971,100.0,88.0,93.62
hartebeest,2670,88,76,63187,97.23,96.81,97.02
hippopotamus,196,3,0,65822,100.0,98.49,99.24
honeyBadger,0,0,5,66016,0.0,0.0,0.0
hyenaSpotted,740,8,21,65252,97.24000000000001,98.92999999999999,98.08
hyenaStriped,0,0,3,66018,0.0,0.0,0.0
impala,1235,46,13,64727,98.96000000000001,96.41,97.67
jackal,61,1,7,65952,89.71000000000001,98.39,93.85
koriBustard,108,12,16,65885,87.1,90.0,88.52
leopard,12,0,0,66009,100.0,100.0,100.0
lionFemale,612,32,12,65365,98.08,95.03,96.53
lionMale,170,6,13,65832,92.9,96.59,94.71000000000001
mongoose,23,3,9,65986,71.88,88.46000000000001,79.31
ostrich,164,0,9,65848,94.8,100.0,97.33000000000001
otherBird,920,60,80,64961,92.0,93.88,92.93
porcupine,32,0,0,65989,100.0,100.0,100.0
reedbuck,182,9,8,65822,95.78999999999999,95.28999999999999,95.54
reptiles,44,0,3,65974,93.62,100.0,96.7
rhinoceros,0,0,6,66015,0.0,0.0,0.0
rodents,0,0,6,66015,0.0,0.0,0.0
secretaryBird,109,3,6,65903,94.78,97.32,96.04
serval,49,3,0,65969,100.0,94.23,97.03
topi,327,23,23,65648,93.43,93.43,93.43
vervetMonkey,76,0,3,65942,96.2,100.0,98.06
warthog,1652,57,6,64306,99.64,96.66,98.13
waterbuck,53,1,12,65955,81.54,98.15,89.08
wildcat,3,0,3,66015,50.0,100.0,66.67
wildebeest,20888,303,147,44683,99.3,98.57000000000001,98.92999999999999
zebra,15702,97,186,50036,98.83,99.39,99.11
